BIO,review,cause,cause_ type,cause_tokenized,review_tokenized,review_tokenized_bert,cause_tokenized_bert,tagged_review_bert,emotion_keywords,emotion_ category,emotion_text,emotion
"['O', 'O', 'B', 'I', 'I', 'I', 'I']",استثنائي . الهدوء في الجناح مع مسبح,الهدوء في الجناح مع مسبح,جملة اسمية مبتدأ ,"['الهدوء', 'في', 'الجناح', 'مع', 'مسبح']","['استثنائي', '.', 'الهدوء', 'في', 'الجناح', 'مع', 'مسبح']","['استثنايي', '.', 'الهدوء', 'في', 'الجناح', 'مع', 'مسب', '##ح']","['الهدوء', 'في', 'الجناح', 'مع', 'مسب', '##ح']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I']","['استثنائي ,surprise']",5,surprise,surprise
"['O', 'O', 'B', 'I']",استثنائي . فندق راااااايق,فندق راااااايق,جملة اسمية مبتدأ  ,"['فندق', 'راااااايق']","['استثنائي', '.', 'فندق', 'راااااايق']","['استثنايي', '.', 'فندق', 'را', '##اااا', '##ايق']","['فندق', 'را', '##اااا', '##ايق']","['O', 'O', 'B', 'I', 'I', 'I']","['استثنائي ,surprise']",5,surprise,surprise
"['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",استثنائي . التحكم بالتلفزيون والتكييف والاضاءة متطور ومريح جدا جدا,التحكم بالتلفزيون والتكييف والاضاءة متطور ومريح جدا جدا,جملة اسمية مبتدأ   و  معطوفات,"['التحكم', 'بالتلفزيون', 'والتكييف', 'والاضاءة', 'متطور', 'ومريح', 'جدا', 'جدا']","['استثنائي', '.', 'التحكم', 'بالتلفزيون', 'والتكييف', 'والاضاءة', 'متطور', 'ومريح', 'جدا', 'جدا']","['استثنايي', '.', 'التحكم', 'بالت', '##لفزيون', 'والتك', '##يي', '##ف', 'والاض', '##اءة', 'متطور', 'ومر', '##يح', 'جدا', 'جدا']","['التحكم', 'بالت', '##لفزيون', 'والتك', '##يي', '##ف', 'والاض', '##اءة', 'متطور', 'ومر', '##يح', 'جدا', 'جدا']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['استثنائي ,surprise']",5,surprise,surprise
"['O', 'O', 'B', 'I', 'I']",استثنائي . المكان والنظافة والهدوء,المكان والنظافة والهدوء,جملة اسمية مبتدأ   و  معطوفات,"['المكان', 'والنظافة', 'والهدوء']","['استثنائي', '.', 'المكان', 'والنظافة', 'والهدوء']","['استثنايي', '.', 'المكان', 'والن', '##ظافة', 'واله', '##دو', '##ء']","['المكان', 'والن', '##ظافة', 'واله', '##دو', '##ء']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I']","['استثنائي ,surprise']",5,surprise,surprise
"['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","استثنائي . قرب الخدمات من الفندق ، و توفر المواقف و الواي فاي مجاني وقربه من امارات مول","قرب الخدمات من الفندق ، و توفر المواقف و الواي فاي مجاني وقربه من امارات مول",ة اسمية مبتدأ   و  معطوفات,"['قرب', 'الخدمات', 'من', 'الفندق', '،', 'و', 'توفر', 'المواقف', 'و', 'الواي', 'فاي', 'مجاني', 'وقربه', 'من', 'امارات', 'مول']","['استثنائي', '.', 'قرب', 'الخدمات', 'من', 'الفندق', '،', 'و', 'توفر', 'المواقف', 'و', 'الواي', 'فاي', 'مجاني', 'وقربه', 'من', 'امارات', 'مول']","['استثنايي', '.', 'قرب', 'الخدمات', 'من', 'الفندق', '،', 'و', 'توفر', 'المواقف', 'و', 'الوا', '##ي', 'فاي', 'مجاني', 'وقر', '##به', 'من', 'امارات', 'مول']","['قرب', 'الخدمات', 'من', 'الفندق', '،', 'و', 'توفر', 'المواقف', 'و', 'الوا', '##ي', 'فاي', 'مجاني', 'وقر', '##به', 'من', 'امارات', 'مول']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['استثنائي ,surprise']",5,surprise,surprise
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",مش قادرة أتخيل انى استحملت اقراها ومش قادرة أوصفلك وجعت قلبى قد ايه ... بجد أسلوب كتابة رائع خيال مالوش حدود وحزن فظيع عجبتنى بقدر ماوجعت قلبى بالظبط . فعلا ابداع يستحق الفراءة رائعة,أسلوب كتابة رائع خيال مالوش حدود وحزن فظيع,جملة اسمية مبتدأ   و  معطوفات,"['أسلوب', 'كتابة', 'رائع', 'خيال', 'مالوش', 'حدود', 'وحزن', 'فظيع']","['مش', 'قادرة', 'أتخيل', 'انى', 'استحملت', 'اقراها', 'ومش', 'قادرة', 'أوصفلك', 'وجعت', 'قلبى', 'قد', 'ايه', '...', 'بجد', 'أسلوب', 'كتابة', 'رائع', 'خيال', 'مالوش', 'حدود', 'وحزن', 'فظيع', 'عجبتنى', 'بقدر', 'ماوجعت', 'قلبى', 'بالظبط', '.', 'فعلا', 'ابداع', 'يستحق', 'الفراءة', 'رائعة']","['مش', 'قادرة', 'ات', '##خيل', 'انى', 'استح', '##ملت', 'اقرا', '##ها', 'ومش', 'قادرة', 'اوص', '##فل', '##ك', 'وجع', '##ت', 'قلب', '##ى', 'قد', 'ايه', '.', '.', '.', 'بجد', 'اسلوب', 'كتابة', 'رايع', 'خيال', 'مال', '##وش', 'حدود', 'وحز', '##ن', 'فظ', '##يع', 'عجب', '##تن', '##ى', 'بقدر', 'ما', '##وج', '##عت', 'قلب', '##ى', 'بال', '##ظ', '##بط', '.', 'فعلا', 'ابداع', 'يستحق', 'الفراء', '##ة', 'رايعة']","['اسلوب', 'كتابة', 'رايع', 'خيال', 'مال', '##وش', 'حدود', 'وحز', '##ن', 'فظ', '##يع']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['رائع ,joy', 'خيال ,surprise', 'فظيع ,disgust', 'ابداع ,surprise', 'رائعة ,surprise']",5,surprise,surprise
"['B', 'O', 'O']",نهايتة كانت مفاجئه,نهايتة,جملة اسمية مبتدأ  ,['نهايتة'],"['نهايتة', 'كانت', 'مفاجئه']","['نهاي', '##تة', 'كانت', 'مفاجي', '##ه']","['نهاي', '##تة']","['B', 'I', 'O', 'O', 'O']",['مفاجئه'],5,surprise,surprise
"['O', 'O', 'B', 'I']",رائعة . الموقع والنظافة,الموقع والنظافة,جملة اسمية مبتدأ   و  معطوفات,"['الموقع', 'والنظافة']","['رائعة', '.', 'الموقع', 'والنظافة']","['رايعة', '.', 'الموقع', 'والن', '##ظافة']","['الموقع', 'والن', '##ظافة']","['O', 'O', 'B', 'I', 'I']","['رائعة ,surprise']",5,surprise,surprise
"['O','O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I','I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",صدمة ان يقيم هذا الفندق باربعة نجوم . . لا يوجد انترنت في الغرف فقط في الاستقبال . لا توجد مواقف . لا توجد ادوات نظافة بالغرف . الغرف ضيقة جدا . كل ما هو موجود في البوكينج عن الفندق غير صحيح,يقيم هذا الفندق باربعة نجوم . .لا يوجد انترنت في الغرف فقط في الاستقبال . لا توجد مواقف . لا توجد ادوات نظافة بالغرف . الغرف ضيقة جدا . كل ما هو موجود في البوكينج عن الفندق غير صحيح ,جملة فعلية / جملة فعلية / جملة فعلية /جملة اسمية /جملة فعلية ,"[ 'يقيم', 'هذا', 'الفندق', 'باربعة', 'نجوم', '.', '.', 'لا', 'يوجد', 'انترنت', 'في', 'الغرف', 'فقط', 'في', 'الاستقبال','.','لا', 'توجد', 'مواقف','.','لا', 'توجد', 'ادوات', 'نظافة', 'بالغرف','.','الغرف', 'ضيقة', 'جدا','.','كل', 'ما', 'هو', 'موجود', 'في', 'البوكينج', 'عن', 'الفندق', 'غير', 'صحيح']","['صدمة', 'ان', 'يقيم', 'هذا', 'الفندق', 'باربعة', 'نجوم', '.', '.', 'لا', 'يوجد', 'انترنت', 'في', 'الغرف', 'فقط', 'في', 'الاستقبال','.','لا', 'توجد', 'مواقف','.','لا', 'توجد', 'ادوات', 'نظافة', 'بالغرف','.','الغرف', 'ضيقة', 'جدا','.','كل', 'ما', 'هو', 'موجود', 'في', 'البوكينج', 'عن', 'الفندق', 'غير', 'صحيح']","[,'صدمة', 'ان', 'يقيم', 'هذا', 'الفندق', 'باربعة', 'نجوم', '.', '.', 'لا', 'يوجد', 'انترنت', 'في', 'الغرف', 'فقط', 'في', 'الاستقبال', '.', 'لا', 'توجد', 'مواقف', '.', 'لا', 'توجد', 'ادوات', 'نظافة', 'بالغ', '##رف', '.', 'الغرف', 'ضيقة', 'جدا', '.', 'كل', 'ما', 'هو', 'موجود', 'في', 'البو', '##كين '##ج', 'عن', 'الفندق', 'غير', 'صحيح']","[ 'يقيم', 'هذا', 'الفندق', 'باربعة', 'نجوم', '.', '.', 'لا', 'يوجد', 'انترنت', 'في', 'الغرف', 'فقط', 'في', 'الاستقبال', '.', 'لا', 'توجد', 'مواقف', '.', 'لا', 'توجد', 'ادوات', 'نظافة', 'بالغ', '##رف', '.', 'الغرف', 'ضيقة', 'جدا', '.', 'كل', 'ما', 'هو', 'موجود', 'في', 'البو', '##كين', '##ج', 'عن', 'الفندق', 'غير', 'صحيح']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['صدمة ,surprise']",5,surprise,surprise
"['B', 'O','B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O']",كتاب  جميل . أحداث القصة قوية و حبكة درامية رائعة و مميزة,كتاب . أحداث القصة قوية و حبكة درامية,جملة اسمية مبتدأ   و  معطوفات,"[كتاب','.','أحداث', 'القصة', 'قوية', 'و', 'حبكة', 'درامية']","['كتاب', 'جميل', '.', 'أحداث', 'القصة', 'قوية', 'و', 'حبكة', 'درامية', 'رائعة', 'و', 'مميزة']","['كتاب','جميل', '.', 'احداث', 'القصة', 'قوية', 'و', 'حبك', '##ة', 'درا', '##مية', 'رايعة', 'و', 'مميزة']","['كتاب','.','احداث', 'القصة', 'قوية', 'و', 'حبك', '##ة', 'درا', '##مية']","['B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I','I', 'O', 'O', 'O']","['رائعة ,surprise']",5,surprise,surprise
